SettlementPoint,Year,Month,Mean,Min,Max,SD,Volatility
HB_BUSAVG,2016,Jan,19.20930107526882,5.12,54.69,5.485210390097426,0.16260013876840151
HB_BUSAVG,2016,Feb,15.288247126436781,1.79,50.98,5.777172176927241,0.2225263722196569
HB_BUSAVG,2016,Mar,16.755625841184386,1.22,64.31,7.368496875539134,0.2126570285651301
HB_BUSAVG,2016,Apr,18.289347222222222,1.18,93.09,9.506142732088001,0.22877198810194016
HB_BUSAVG,2016,May,18.159583333333334,3.03,73.61,8.017220813376365,0.17257385068168513
HB_BUSAVG,2016,Jun,23.909819444444445,4.02,110.72,11.305436288586213,0.1474295789602155
HB_BUSAVG,2016,Jul,27.18747311827957,7.61,99.29,12.406065835499753,0.15453076259267462
HB_BUSAVG,2016,Aug,30.567137096774193,13.39,230.02,27.15155808784459,0.1856547783888562
HB_BUSAVG,2016,Sep,26.86175,10.89,202.4,14.90429817289045,0.1380798114430571
HB_BUSAVG,2016,Oct,25.204838709677418,2.92,274.77,16.327119599882366,0.18920705028007032
HB_BUSAVG,2016,Nov,19.244902777777778,2.3,48.65,6.378151553287985,0.18675276243989297
HB_BUSAVG,2016,Dec,25.3183064516129,2.72,139.42,11.105303297399228,0.2053625941039086
HB_BUSAVG,2017,Jan,23.252782258064517,1.94,96.28,7.471612705493782,0.19586681247656035
HB_BUSAVG,2017,Feb,20.11782738095238,3.56,52.7,6.538278533511914,0.18540494893901996
HB_BUSAVG,2017,Mar,22.569892328398385,4.92,78.44,7.988595981559292,0.1480568805466746
HB_BUSAVG,2017,Apr,23.705083333333334,8.37,81.08,7.768482147422761,0.1398062955126053
HB_BUSAVG,2017,May,25.087352150537633,4.66,65.3,7.952691485425808,0.1454265116762633
HB_BUSAVG,2017,Jun,27.66915277777778,15.22,82.18,11.114801167073598,0.13154185484692557
HB_BUSAVG,2017,Jul,31.454274193548386,16.64,257.04,17.838848649545906,0.15471486798675363
HB_BUSAVG,2017,Aug,27.50701612903226,16.62,88.75,10.898581913248776,0.12395499832884099
HB_BUSAVG,2017,Sep,24.184166666666666,8.38,59.02,7.923659778393277,0.1183019943507812
HB_BUSAVG,2017,Oct,23.563279569892472,3.07,97.54,10.300630159991831,0.1633552566868084
HB_BUSAVG,2017,Nov,22.677458333333334,4.28,83.65,8.310512675527983,0.16930819550579299
HB_BUSAVG,2017,Dec,21.18795698924731,5.82,55.67,5.19330756504688,0.1564664443235028
HB_BUSAVG,2018,Jan,37.869677419354836,5.83,1660.04,87.56361308118343,0.2184487910109711
HB_BUSAVG,2018,Feb,21.854315476190475,5.09,73.49,7.541317693617221,0.19781195326097495
HB_BUSAVG,2018,Mar,22.561978465679676,7.34,69.97,8.357991123600046,0.18213744128865328
HB_BUSAVG,2018,Apr,23.142958333333333,6.22,53.44,7.366768766336835,0.15695830411051714
HB_BUSAVG,2018,May,34.00524193548387,8.49,541.31,38.31447037060386,0.2257969020908786
HB_BUSAVG,2018,Jun,29.966125,15.16,114.07,14.65805823884764,0.14553167008640058
HB_BUSAVG,2018,Jul,78.85944892473118,9.9,2061.99,233.36169591636295,0.3779511619461333
HB_BUSAVG,2018,Aug,31.661559139784945,12.71,149.91,18.572329132601748,0.1627562780368106
HB_BUSAVG,2018,Sep,27.175444444444445,14.59,88.96,10.510967505928196,0.12135330832924657
HB_BUSAVG,2018,Oct,29.95782258064516,10.32,95.21,10.169829781404726,0.13645456951855342
HB_BUSAVG,2018,Nov,30.6445,9.3,108.07,11.598420053307366,0.1701535644159874
HB_BUSAVG,2018,Dec,30.26818548387097,6.64,117.74,10.123066556862826,0.17600679628787913
HB_BUSAVG,2019,Jan,24.592567204301076,5.72,75.28,8.130355147669789,0.1693805599567058
HB_BUSAVG,2019,Feb,21.18636904761905,5.06,56.68,7.013010151618257,0.1885655164428817
HB_BUSAVG,2019,Mar,27.5657200538358,7.31,675.6,34.26389168747649,0.20162506741643216
HB_BUSAVG,2019,Apr,22.613180555555555,5.34,102.53,11.853101342168468,0.19128746174712197
HB_BUSAVG,2019,May,23.959932795698926,9.46,67.19,8.560298614984859,0.1327564022744654
HB_BUSAVG,2019,Jun,25.085541666666668,8.72,102.2,13.651568525669752,0.14784022986497747
HB_BUSAVG,2019,Jul,29.72962365591398,11.28,274.56,26.86115729182235,0.19455344501450636
HB_BUSAVG,2019,Aug,126.38408602150538,10.04,3499.84,401.2063066000971,0.5134098697903895
HB_BUSAVG,2019,Sep,79.615625,7.88,5008.32,380.2139310767902,0.34935138042564656
HB_BUSAVG,2019,Oct,28.247056451612902,6.39,851.45,53.267344275415354,0.23043984391487324
HB_BUSAVG,2019,Nov,23.468374999999998,3.26,203.7,14.638393552028688,0.22857557015049654
HB_BUSAVG,2019,Dec,18.71508064516129,3.74,59.84,6.744975917531293,0.18485900120649815
HB_HOUSTON,2016,Jan,19.565725806451614,5.19,54.55,5.648747381728997,0.1666276911443794
HB_HOUSTON,2016,Feb,15.464540229885058,2.1,50.75,5.811656068895288,0.2208448671495128
HB_HOUSTON,2016,Mar,17.124952893674294,1.36,72.32,7.704735965516085,0.21220387738183688
HB_HOUSTON,2016,Apr,18.940958333333334,1.26,99,10.265435546159958,0.2304177301272185
HB_HOUSTON,2016,May,19.174086021505378,3.04,73.62,9.380178378071188,0.18020168468424194
HB_HOUSTON,2016,Jun,26.255736111111112,4.31,141,15.324347268547495,0.16400868803197993
HB_HOUSTON,2016,Jul,29.538924731182796,10.08,101.38,14.978876680896805,0.15956180133714695
HB_HOUSTON,2016,Aug,32.97254032258064,13.49,269.69,33.12178187519316,0.19741966320215196
HB_HOUSTON,2016,Sep,28.742416666666667,11.49,211.23,16.821039643259606,0.14932620926086465
HB_HOUSTON,2016,Oct,28.249556451612904,4,284.79,18.950819928980863,0.1974858496325841
HB_HOUSTON,2016,Nov,20.365930555555554,3.05,51.61,7.431234496542129,0.1918111282469201
HB_HOUSTON,2016,Dec,25.72766129032258,2.92,142.55,11.323204615300083,0.20681534176068245
HB_HOUSTON,2017,Jan,24.781854838709677,3.03,96.21,7.904352417097669,0.1943509744213776
HB_HOUSTON,2017,Feb,23.265714285714285,4.52,58.68,8.61231960434737,0.18751531158283782
HB_HOUSTON,2017,Mar,28.213297442799462,6.85,144.16,14.123950526156516,0.1575584864671041
HB_HOUSTON,2017,Apr,32.29573611111111,10.77,142.25,15.704205969482658,0.16374647086350472
HB_HOUSTON,2017,May,31.53317204301075,5,105.17,14.642110122789164,0.18242908848302586
HB_HOUSTON,2017,Jun,33.168347222222224,15.44,133.78,18.60204923631417,0.16766762782133504
HB_HOUSTON,2017,Jul,34.37583333333333,16.72,306.24,22.793164369378225,0.173278698813314
HB_HOUSTON,2017,Aug,29.401720430107527,16.61,97.06,13.225864551440145,0.13452977856501727
HB_HOUSTON,2017,Sep,26.542944444444444,8.32,73.92,10.919633588905972,0.13963433466710218
HB_HOUSTON,2017,Oct,30.141236559139784,4.4,249.2,23.325715626861324,0.20264138953442623
HB_HOUSTON,2017,Nov,26.091055555555556,4.69,131,12.686734104963287,0.17320419836412296
HB_HOUSTON,2017,Dec,21.549005376344088,6.25,53.34,5.162866307722016,0.15716798722305828
HB_HOUSTON,2018,Jan,37.94478494623656,6.19,1637.34,86.01527890478582,0.2164881966416179
HB_HOUSTON,2018,Feb,22.164107142857144,5.1,72.11,7.347411911330589,0.19739782679739443
HB_HOUSTON,2018,Mar,23.782543741588157,8.01,71.01,8.968034089721383,0.18869679983872314
HB_HOUSTON,2018,Apr,24.652694444444446,8.4,58.92,7.830764138938864,0.15975528419948626
HB_HOUSTON,2018,May,34.14755376344086,8.43,530.4,37.10995493457377,0.22404097579805302
HB_HOUSTON,2018,Jun,30.628486111111112,15.81,116.02,14.938345448626666,0.1454629558021777
HB_HOUSTON,2018,Jul,79.03404569892473,9.95,2057.51,233.00015888349543,0.377298500087281
HB_HOUSTON,2018,Aug,31.944247311827958,13.44,150.2,18.66412510098779,0.16193458136028327
HB_HOUSTON,2018,Sep,27.58136111111111,15.06,91.04,10.751295245972898,0.12132940227437033
HB_HOUSTON,2018,Oct,30.981935483870966,12.6,98.4,10.837428527252913,0.13679754554431597
HB_HOUSTON,2018,Nov,31.31923611111111,10.01,104.77,11.698294258876446,0.16736233052617028
HB_HOUSTON,2018,Dec,30.333548387096773,6.85,116.17,9.879054520195682,0.17615562195293946
HB_HOUSTON,2019,Jan,25.42603494623656,8.64,74.76,7.830863602989716,0.1672256826542771
HB_HOUSTON,2019,Feb,21.5078125,5.47,57.38,6.696868686204083,0.185583460916859
HB_HOUSTON,2019,Mar,27.832032301480485,8.18,651,32.644066723148484,0.2018242585028089
HB_HOUSTON,2019,Apr,23.870652777777778,5.4,106.31,11.999629838588168,0.1874999889164137
HB_HOUSTON,2019,May,24.794274193548386,9.59,67.67,8.95367187909662,0.1332744502933306
HB_HOUSTON,2019,Jun,26.897680555555556,9.93,111.16,15.453808881248245,0.15374515162617347
HB_HOUSTON,2019,Jul,29.91100806451613,11.34,274.33,26.800292086352297,0.19404553544086806
HB_HOUSTON,2019,Aug,126.62533602150538,10.32,3499.86,401.4410640782596,0.51212141902273
HB_HOUSTON,2019,Sep,80.58765277777778,7.97,5011.16,380.54306782069796,0.3488475588112935
HB_HOUSTON,2019,Oct,30.393602150537635,9.65,870.3,55.08859314240536,0.22359990987858253
HB_HOUSTON,2019,Nov,24.0215,3.79,198.8,14.300458495621012,0.2242897955764185
HB_HOUSTON,2019,Dec,18.6725,3.8,59.43,6.622055581247453,0.18385788311129733
HB_HUBAVG,2016,Jan,19.25869623655914,5.13,54.53,5.512316838236008,0.16337180049539854
HB_HUBAVG,2016,Feb,15.269252873563218,1.52,50.9,5.812592533369644,0.2262539090052082
